id,question,option1,option2,option3,option4,correct_answer_index
1,Dans quelle période préhistorique les premiers outils en pierre taillée ont-ils été utilisés ?,Le Paléolithique inférieur,Le Néolithique,Le Mésolithique,Le Paléolithique supérieur,0
2,Quel hominidé est associé à la culture moustérienne ?,Néandertal,Homo sapiens,Homo erectus,Homo habilis,0
3,Comment appelle-t-on les dessins réalisés sur les parois des grottes,"comme à Lascaux ?,Art rupestre",Fresque pariétale,Peinture murale,Gravure rupestre,0
4,Quelle invention marque le début de la sédentarisation au Néolithique ?,La poterie,La métallurgie,L’agriculture,La navigation,2
5,Quelle ville grecque antique est connue pour avoir inventé la démocratie ?,Athènes,Corinthe,Spartes,Thèbes,0
6,Qui était le principal rival de Rome durant les guerres puniques ?,Syracuse,Alexandrie,Massalia,Carthage,3
7,Sous quel empereur romain le Colisée a-t-il été inauguré ?,Néron,Titus,Domitien,Auguste,1
8,Qui est la déesse grecque de la sagesse ?,Héra,Artémis,Aphrodite,Athéna,3
9,Quel fleuve est associé à l’Égypte ancienne ?,Le Tigre,L’Euphrate,Le Jourdain,Le Nil,3
10,Quelle civilisation précolombienne a construit Chichen Itzá ?,Les Aztèques,Les Incas,Les Olmèques,Les Mayas,3
11,Qui a été sacré empereur d’Occident en l’an 800 ?,Otton Ier,Charles Martel,Charlemagne,Clovis,2
12,Quel peuple venu du Nord a attaqué les côtes de l’Europe au IXe siècle ?,Les Normands,Les Vikings,Les Saxons,Les Wisigoths,1
13,Quelle guerre a opposé la France et l’Angleterre de 1337 à 1453 ?,La guerre de Cent Ans,La guerre des Deux-Roses,La guerre de Succession,L’Anarchie,0
14,Quelle maladie a décimé l’Europe au XIVe siècle ?,La variole,La lèpre,Le choléra,La peste noire,3
15,Quel artiste a peint “La Joconde” ?,Raphaël,Léonard de Vinci,Michel-Ange,Sandro Botticelli,1
16,Quelle invention de Gutenberg a révolutionné la diffusion du savoir ?,La boussole,L’imprimerie,Le papier,La poudre à canon,1
17,Quel roi est surnommé le “Roi Soleil” ?,Louis XIV,François Ier,Henri IV,Charles X,0
18,Quelle philosophie a influencé les révolutions du XVIIIe siècle ?,Le stoïcisme,Le romantisme,Les Lumières,Le positivisme,2
19,En quelle année a eu lieu la prise de la Bastille ?,1792,1804,1815,1789,3
20,Quel général devint empereur des Français en 1804 ?,Napoléon Bonaparte,Jean Lannes,Michel Ney,Louis XVIII,0
21,Quelle guerre a débuté après l’assassinat de l’archiduc François-Ferdinand ?,La Première Guerre mondiale,La Seconde Guerre mondiale,La guerre de Crimée,La guerre de Sécession,0
22,Quel dictateur allemand est arrivé au pouvoir en 1933 ?,Adolf Hitler,Joseph Staline,Benito Mussolini,Francisco Franco,0
23,Quel mur est tombé en 1989,Berlin Wall,Iron Curtain,Wall of China,"marquant la fin de la guerre froide ?,Le mur de Berlin",3
24,Quelle pandémie mondiale a éclaté en 2019 ?,La COVID-19,La grippe aviaire,Le SRAS,La variole du singe,0
25,En quelle année la Confédération suisse a-t-elle été fondée ?,1848,1948,1815,1291,3
26,Qui est l’auteur de Germinal,Victor Hugo,Alphonse Daudet,Guy de Maupassant,"un roman emblématique du naturalisme français ?,Émile Zola",3
27,Quel est le courant littéraire auquel appartient le poète Charles Baudelaire ?,Le réalisme,Le romantisme,Le symbolisme,Le surréalisme,2
28,Quel roman d’Albert Camus met en scène un homme étranger à ses propres émotions ?,La Peste,L’Étranger,La Chute,Le Mythe de Sisyphe,1
29,Comment appelle-t-on une autobiographie romancée,Journal intime,"comme dans les œuvres d’Annie Ernaux ?,Autofiction",Roman historique,Essai,1
30,Quel prix littéraire prestigieux est attribué chaque année en France depuis 1903 ?,Le prix Renaudot,Le prix Goncourt,Le prix Femina,Le prix Médicis,1
31,Quel est le nom de la particule découverte en 2012 au CERN,Le photon,Le neutrino,"surnommée “particule de Dieu” ?,Le boson de Higgs",Le quark,2
32,Quelle loi de Newton stipule que “tout corps persévère dans l’état de repos ou de mouvement rectiligne uniforme,La troisième loi,La deuxième loi,"à moins que des forces extérieures ne modifient cet état” ?,La première loi de Newton (principe d’inertie)",La loi de la gravitation,2
33,Quelle molécule contient l’information génétique chez les êtres vivants ?,L’ADN (acide désoxyribonucléique),L’ARN,La protéine,Le glucose,0
34,Quel est l’élément chimique représenté par le symbole “Fe” ?,Le cuivre,Le fer,Le fluor,Le phosphore,1
35,Quelle planète est surnommée “la planète rouge” ?,Vénus,Jupiter,Saturne,Mars,3
36,Quel mouvement artistique est associé à Monet,Le cubisme,Le réalisme,"Degas et Renoir ?,L’impressionnisme",Le fauvisme,2
37,Quel sculpteur est célèbre pour Le Penseur et Le Baiser ?,Camille Claudel,Auguste Rodin,Jean-Baptiste Carpeaux,Antoine Bourdelle,1
38,Quel architecte a conçu la Sagrada Família à Barcelone ?,Antoni Gaudí,Le Corbusier,Frank Lloyd Wright,Norman Foster,0
39,Quel compositeur est l’auteur des Quatre Saisons ?,Jean-Sébastien Bach,Georg Friedrich Haendel,Antonio Vivaldi,Joseph Haydn,2
40,Quel mouvement artistique utilise le graffiti comme forme d’expression ?,Le cubisme,Le pop art,Le dadaïsme,Le street art,3
41,Quel philosophe grec est célèbre pour n’avoir laissé aucun écrit et avoir été condamné à mort ?,Platon,Aristote,Socrate,Épicure,2
42,Quelle est la principale œuvre philosophique de René Descartes ?,Les Méditations métaphysiques,Les Principes de la philosophie,Le Monde,Le Discours de la méthode,3
43,Quel philosophe allemand est connu pour la notion de “volonté de puissance” ?,Friedrich Nietzsche,Immanuel Kant,Georg Wilhelm Friedrich Hegel,Arthur Schopenhauer,0
44,Quel philosophe français est à l’origine de l’existentialisme athée ?,Jean-Paul Sartre,Simone de Beauvoir,Albert Camus,Gabriel Marcel,0
45,Dans quelle branche philosophique étudie-t-on les règles de la pensée correcte ?,L’éthique,L’esthétique,La métaphysique,La logique,3
46,Quel est le nom du prophète fondateur de l’islam ?,Mahomet (Muhammad),Moïse,Bouddha,Jésus,0
47,Quel texte sacré est commun aux religions juive et chrétienne ?,Le Coran,Le Nouveau Testament,La Torah (Ancien Testament),Le Talmud,2
48,Dans quelle ville Jésus aurait-il été crucifié ?,Nazareth,Jérusalem,Bethléem,Capharnaüm,1
49,Quel rituel chrétien symbolise la purification et l’entrée dans la communauté ?,La confirmation,La communion,La confession,Le baptême,3
50,Quel mot désigne le retour à la vie d’un être après la mort,"comme dans la croyance chrétienne au sujet de Jésus ?,Résurrection",Réincarnation,Transmigration,Ascension,0
51,Quelle est la langue reconstituée censée être l’ancêtre des langues indo-européennes ?,Le sumérien,Le hittite,Le sanskrit,Le proto-indo-européen,3
52,Que signifie l’intersectionnalité dans les études de genre ?,"C’est l’analyse croisée des différentes formes de discriminations (sexe, race, classe, orientation sexuelle, etc.)",L’égalité des sexes,La parité,L’étude des genres littéraires,0
53,Qu’est-ce qu’un biais de confirmation ?,Un raisonnement logique,Une preuve scientifique,Un doute méthodique,La tendance à privilégier les informations qui confirment nos croyances préexistantes,3
54,À quel groupe appartient la langue chinoise ?,Aux langues indo-européennes,Aux langues sino-tibétaines,Aux langues sémitiques,Aux langues finno-ougriennes,1
55,Quelle est la différence entre un phonème et un allophone ?,"Un phonème distingue des mots, un allophone est une variante sonore d’un même phonème",Un phonème est une lettre, un allophone est un mot,Un phonème est une syllabe,0
56,Qu’est-ce que le « machine learning » ?,L’apprentissage humain,L’apprentissage supervisé par un professeur,L’apprentissage par imitation,"C’est l’apprentissage automatique à partir de données pour faire des prédictions ou classifications",3
57,Quel film est souvent considéré comme l’un des premiers films de science-fiction ?,Metropolis,Le Voyage dans le temps,Le Voyage dans la Lune de Georges Méliès (1902),L’Invention du diable,2
58,Que désigne le terme « domotique » ?,La robotique,L’automatisation des tâches domestiques via des objets connectés,La gestion des déchets,La cuisine connectée,1
59,Que signifie le terme “mème” sur Internet ?,Un virus informatique,"Une idée, image ou vidéo virale diffusée et transformée en ligne",Un logiciel de messagerie,Un site de rencontre,1
60,Quelle est la principale différence entre un robot industriel et un robot domestique ?,Leur taille,"Leur usage : production industrielle pour l’un, assistance personnelle pour l’autre",Leur couleur,Leur alimentation,1
61,Quelle forme juridique protège le patrimoine personnel d’un entrepreneur ?,L’entreprise individuelle,"La société à responsabilité limitée (SARL, SA…)",La micro-entreprise,La société en nom collectif,1
62,Que signifie « pragmatique » en linguistique ?,L’étude de la grammaire,L’étude de la phonétique,L’étude de la syntaxe,L’étude du langage en contexte d’usage réel,3
63,Qu’est-ce qu’un morphème ?,Une lettre,L’unité minimale de sens dans un mot,Un mot composé,Un synonyme,1
64,Quelle déclaration fondatrice a été adoptée en 1948 par l’ONU ?,La Charte de l’ONU,La Convention de Genève,La Déclaration universelle des droits de l’homme,Le Pacte de Varsovie,2
65,Quelle est la principale différence entre common law et droit civil ?,Le common law est oral,"Le common law repose sur la jurisprudence, le droit civil sur des codes écrits",Le droit civil est religieux,Le common law est européen,1
66,Qui a introduit le concept d’« anomie » ?,Max Weber,Émile Durkheim,Karl Marx,Auguste Comte,1
67,Quelle est la différence entre un délit et un crime ?,Un délit est plus grave,Un crime est une infraction mineure,Un délit est jugé par un tribunal civil,Le crime est plus grave qu’un délit et entraîne des peines plus lourdes,3
68,Quel est le principe de la blockchain ?,Un réseau social,Un algorithme de tri,Un système de vote,"Une base de données décentralisée et sécurisée, sans autorité centrale",3
69,Quelle approche a été fondée par Freud ?,Le behaviorisme,La psychologie cognitive,La gestalt,La psychanalyse,3
70,Que signifie la séparation des pouvoirs ?,La séparation de l’Église et de l’État,La division des classes sociales,La séparation des partis politiques,"Répartition des fonctions entre exécutif, législatif et judiciaire pour éviter les abus",3
71,Quelle idée centrale défend le marxisme ?,La démocratie directe,La monarchie constitutionnelle,Le libéralisme,La lutte des classes et l’abolition de la propriété privée des moyens de production,3
72,Qu’est-ce qu’un contrat ?,Un engagement moral,Un accord entre deux ou plusieurs parties créant des obligations juridiques,Un testament,Un don,1
73,Quelle est la différence entre réalité augmentée et réalité virtuelle ?,La réalité augmentée est en 2D,La réalité virtuelle utilise des lunettes,La réalité augmentée est un jeu vidéo,"L’AR ajoute des éléments au monde réel, la VR immerge dans un monde 100 % numérique",3
74,Qu’est-ce qu’un rite de passage ?,Une cérémonie marquant le passage d’un individu d’un statut social à un autre,Un examen scolaire,Un voyage initiatique,Un baptême religieux,0
75,Quelle énergie provient de la chaleur interne de la Terre ?,La géothermie,L’énergie solaire,L’énergie hydraulique,L’énergie éolienne,0
76,Quel est le principe de l’Hyperloop ?,Un train en lévitation dans un tube à basse pression atteignant de très hautes vitesses,Un avion supersonique,Un bateau à grande vitesse,Un métro automatique,0
77,Que signifie le terme « phishing » ?,Une pêche en mer,Une fraude par courriel ou site imitant un service officiel pour voler des données,Un virus informatique,Un jeu vidéo,1
78,Quelle est la différence entre un CDD et un CDI ?,"Le CDD est limité dans le temps, le CDI est à durée indéterminée",Le CDI est réservé aux cadres,Le CDD est réservé aux étudiants,Le CDI est un contrat saisonnier,0
79,Que sont les pédagogies alternatives ?,L’enseignement traditionnel,L’école à la maison,L’apprentissage par cœur,Des approches éducatives non traditionnelles comme Montessori ou Freinet,3
80,Quelle invention a permis la révolution industrielle ?,La dynamo,La machine à vapeur,Le téléphone,La radio,1
81,Quelle institution est chargée de maintenir la paix dans le monde ?,L’OTAN,Le FMI,La Banque mondiale,L’Organisation des Nations Unies (ONU),3
82,Quelle est la différence entre justice civile et pénale ?,La justice civile concerne les crimes,La justice pénale concerne les divorces,La justice civile règle les litiges entre particuliers ; la pénale punit les infractions,La justice pénale concerne les contrats,3
83,Qu’est-ce qu’une puissance émergente ?,Un pays développé,Un pays en développement rapide qui gagne de l’influence mondiale,Un pays pauvre,Un pays neutre,1
84,À quoi servent les biotechnologies ?,À fabriquer des vêtements,"À utiliser le vivant pour produire des médicaments, vaccins ou OGM",À produire de l’acier,À construire des routes,1
85,Qu’est-ce qu’un acte administratif ?,Un acte médical,Un acte notarié,Un acte de naissance,Une décision prise par une autorité publique dans le cadre de ses fonctions,3
86,Quelle nation a remporté le plus de Coupes du Monde de football masculin ?,L’Allemagne,"Le Brésil, avec 5 titres",L’Argentine,La France,1
87,Quel nageur détient le record du plus grand nombre de médailles olympiques ?,Ian Thorpe,Mark Spitz,Kristin Otto,"Michael Phelps, avec 23 médailles d’or",3
88,Quelle est l’altitude typique pour un saut en parachute civil ?,1 000 mètres,2 000 mètres,3 000 mètres,Environ 4 000 mètres,3
89,Où se tenaient les Jeux Olympiques dans l’Antiquité grecque ?,Athènes,À Olympie,Delphes,Corinthe,1
90,En quelle année le CIO (Comité International Olympique) a-t-il été fondé ?,1900,En 1894,1924,1948,1
91,Quelle molécule est principalement utilisée pour fournir de l’énergie rapide dans les muscles ?,Le glucose,Le lactate,L’ATP (adénosine triphosphate),La créatine,2
92,Quelle est la principale conséquence d’une déshydratation modérée chez un athlète ?,Une prise de poids,Une augmentation de la force,Une baisse de performance physique et cognitive,Une meilleure récupération,2
93,Quel club a remporté le plus de Ligues des champions de l’UEFA ?,Le Real Madrid,Le FC Barcelone,Le Bayern Munich,Manchester United,0
94,Quel cycliste a remporté 5 fois le Tour de France dans les années 1990 ?,Miguel Indurain,Lance Armstrong,Jan Ullrich,Marco Pantani,0
95,Que signifie le terme “fair-play” dans le sport ?,La tricherie,"Le respect des règles, de l’adversaire et de l’arbitre",La compétition à tout prix,Le dopage,1
96,Comment appelle-t-on l’ensemble des cinq lignes sur lesquelles on écrit la musique ?,Une portée,Une clé,Une gamme,Un accord,0
97,Quel est l’instrument à cordes le plus aigu de l’orchestre classique ?,Le violon,Le violoncelle,La contrebasse,La harpe,0
98,Dans quel pays est né le mouvement hip-hop ?,France,"Aux États-Unis, dans le Bronx à New York",Brésil,Allemagne,1
99,Quelle région du cerveau est particulièrement liée à la mémoire musicale ?,Le cortex visuel,L’hippocampe,Le cervelet,Le bulbe rachidien,1
100,Quel est le service de streaming musical le plus utilisé au monde en 2025 ?,Deezer,Apple Music,YouTube Music,Spotify,3
